run,scenario,file_size_bytes,chunk_size_bytes,window_size,timeout_s,max_retries,delay_ms,loss_probability,original_data_packets,total_data_packets,retransmitted_packets,ack_packets_sent,ack_packets_received,data_packets_lost,ack_packets_lost,useful_data_bytes,data_bytes_sent,ack_bytes_sent,total_bytes_sent,duration_s,throughput_bps,network_throughput_bps,mean_rtt_s,efficiency_ratio
26,C,524288,1024,4,1.0,100,100,0.2,512,2095,1583,1684,1374,411,310,524288,2145280,67360,2212640,465.2795023792974,1126.8237636065014,4755.507149326876,0.6963244038787669,0.13548557819528975
27,A,524288,1024,4,1.0,100,10,0.0,512,1527,1015,1527,1527,0,0,524288,1563648,61080,1624728,260.64857641840746,2011.474634560766,6233.404464837349,0.2712030637076497,0.16764898493778652
27,B,524288,1024,4,1.0,100,50,0.1,512,2003,1491,1824,1649,179,175,524288,2051072,72960,2124032,409.2958808267418,1280.951078571776,5189.478075639661,0.5094833463440418,0.1337862555526522
27,C,524288,1024,4,1.0,100,100,0.2,512,2145,1633,1737,1395,408,342,524288,2196480,69480,2265960,475.4382254707254,1102.746838416093,4766.045047716771,0.6994490087743049,0.13189077794951057
28,A,524288,1024,4,1.0,100,10,0.0,512,1587,1075,1587,1587,0,0,524288,1625088,63480,1688568,275.7941378952233,1901.0121244824347,6122.566682840454,0.27079350055668455,0.16131064902331443
28,B,524288,1024,4,1.0,100,50,0.1,512,1839,1327,1656,1493,183,163,524288,1883136,66240,1949376,364.4177831568564,1438.7003714753696,5349.288893404331,0.458512163551921,0.1464949928469242
28,C,524288,1024,4,1.0,100,100,0.2,512,2054,1542,1643,1323,411,320,524288,2103296,65720,2169016,454.1662262606018,1154.3967157504183,4775.819676990717,0.6825486597690325,0.1384906681092778
29,A,524288,1024,4,1.0,100,10,0.0,512,1511,999,1511,1511,0,0,524288,1547264,60440,1607704,255.5434652911604,2051.658802554932,6291.313292508649,0.2539459506760238,0.16942422236929186
29,B,524288,1024,4,1.0,100,50,0.1,512,1917,1405,1717,1533,200,184,524288,1963008,68680,2031688,383.6061817074784,1366.7350136703467,5296.285870464095,0.49720674583400215,0.14089157952669235
29,C,524288,1024,4,1.0,100,100,0.2,512,2171,1659,1717,1374,454,343,524288,2223104,68680,2291784,484.7306513681499,1081.6068645962448,4727.953541892701,0.7134665366283427,0.13168724279835392
30,A,524288,1024,4,1.0,100,10,0.0,512,1593,1081,1593,1593,0,0,524288,1631232,63720,1694952,276.8139707246656,1894.0084513345814,6123.072457516578,0.27700696955888227,0.16070307595731326
30,B,524288,1024,4,1.0,100,50,0.1,512,1925,1413,1743,1574,182,169,524288,1971200,69720,2040920,386.9358190114542,1354.9740660853108,5274.56983748404,0.48222415594345286,0.1395856052344602
30,C,524288,1024,4,1.0,100,100,0.2,512,2141,1629,1694,1357,447,337,524288,2192384,67760,2260144,477.8132945890968,1097.2654087636256,4730.182323502838,0.6995537864811733,0.13350717079530638
